name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
CMCSA,Comcast Corporation Class A,NASDAQ,25.12,USD,0.72,-4.76,-9.74,-23.18,-4.30,-10.28,-22.64,-53.87,-12.76,98855.22,2.45,3.23,25.88,27.54,28.39,29.00,28.71,32.76,1,DOWN,NEUTRAL
MCK,McKesson Corporation,NYSE,739.29,USD,0.29,-0.08,-14.32,-22.45,-12.99,-9.62,6.71,279.98,337.42,4380.55,3.29,2.52,759.37,820.73,854.27,865.35,814.68,25.63,1,DOWN,OVERSOLD
ICE,"Intercontinental Exchange, Inc.",NYSE,155.36,USD,0.36,1.93,-4.96,2.45,1.09,-3.71,-10.24,36.89,198.01,1891.79,1.89,2.42,155.56,159.32,159.15,161.87,163.53,44.78,1,DOWN,NEUTRAL
AMT,American Tower Corporation,NYSE,174.66,USD,0.46,-2.69,-2.12,-4.28,-4.48,-0.34,-13.92,-28.71,65.17,731.74,2.22,2.26,178.19,178.04,178.28,178.87,184.98,44.15,1,DOWN,NEUTRAL
NOC,Northrop Grumman Corp.,NYSE,552.40,USD,0.11,-1.22,-18.58,-18.85,-0.96,-3.02,19.73,48.30,158.16,25689.79,1.70,2.57,556.50,613.64,653.43,658.96,620.65,24.85,1,DOWN,OVERSOLD
ITW,Illinois Tool Works Inc.,NYSE,251.84,USD,0.70,-3.43,-7.86,-16.03,2.80,2.10,1.32,6.01,143.89,26762.93,1.41,2.17,253.79,263.03,264.24,267.56,261.01,38.88,1,DOWN,NEUTRAL
ECL,Ecolab Inc.,NYSE,249.13,USD,-0.20,-5.64,-10.04,-18.21,-4.46,-4.62,-1.10,11.55,114.34,11208.03,1.90,2.45,254.85,264.42,266.66,275.37,272.34,34.19,1,DOWN,NEUTRAL
MSI,"Motorola Solutions, Inc.",NYSE,402.80,USD,1.23,-6.53,-8.06,-10.41,5.31,5.08,-2.94,100.80,472.16,13303.08,4.12,2.32,414.66,431.67,441.25,428.12,429.63,36.48,1,DOWN,NEUTRAL
AON,Aon Plc Class A,NYSE,312.32,USD,0.46,1.67,-2.93,0.84,-11.23,-11.05,-12.09,23.06,195.76,11531.06,1.60,2.30,312.73,320.96,322.09,330.63,342.93,43.81,1,DOWN,NEUTRAL
TEL,TE Connectivity plc,NYSE,206.83,USD,-0.40,-4.29,-12.63,-10.16,-11.20,-10.23,27.75,55.27,258.64,459.00,3.39,3.48,208.64,218.69,212.58,220.84,220.98,44.33,1,DOWN,NEUTRAL
